elevator,reason,out_of_service,first_missed,estimated_return
EL145,Under Investigation,2018-03-31 22:17:00+00:00,2018-04-01 00:43:08.160798+00:00,2018-04-01 07:00:00+00:00
EL188,Under Investigation,2018-03-31 22:08:00+00:00,2018-03-31 23:10:08.359494+00:00,2018-04-01 07:00:00+00:00
EL706,Under Investigation,2018-03-31 21:05:00+00:00,2018-03-31 22:52:09.624239+00:00,2018-04-01 06:00:00+00:00
EL277,Under Investigation,2018-03-31 21:00:00+00:00,2018-04-01 00:13:08.199466+00:00,2018-04-01 05:00:00+00:00
EL372,Under Investigation,2018-03-31 20:58:00+00:00,2018-03-31 22:08:08.594680+00:00,2018-04-01 05:00:00+00:00
EL204,Under Investigation,2018-03-31 20:15:00+00:00,2018-03-31 21:20:07.774294+00:00,2018-04-01 05:00:00+00:00
EL425,Under Investigation,2018-03-31 20:05:00+00:00,2018-03-31 22:02:08.346014+00:00,2018-04-01 05:00:00+00:00
EL210,Under Investigation,2018-03-31 19:51:00+00:00,2018-04-01 00:51:09.031170+00:00,2018-04-01 04:00:00+00:00
EL237,Under Investigation,2018-03-31 19:34:00+00:00,2018-04-01 14:43:10.147176+00:00,2018-04-01 04:00:00+00:00
EL431,Repair,2018-03-31 19:40:00+00:00,2018-04-01 09:19:10.518692+00:00,2018-04-01 10:00:00+00:00
EL431,Repair,2018-03-31 19:00:00+00:00,2018-03-31 19:45:08.236784+00:00,2018-04-01 10:00:00+00:00
EL214,Under Investigation,2018-03-31 19:15:00+00:00,2018-03-31 22:35:09.299808+00:00,2018-04-01 04:00:00+00:00
EL133,Under Investigation,2018-03-31 18:50:00+00:00,2018-04-02 00:27:09.868188+00:00,2018-04-01 03:00:00+00:00
EL105,Under Investigation,2018-03-31 18:35:00+00:00,2018-03-31 20:00:06.836237+00:00,2018-04-01 03:00:00+00:00
EL225,Repair,2018-03-31 18:38:00+00:00,2018-03-31 23:35:07.848894+00:00,2018-04-01 03:00:00+00:00
EL290X,Repair,2018-03-31 14:30:00+00:00,2018-04-02 22:01:27.431527+00:00,2018-03-31 23:00:00+00:00
EL104,Repair,2018-03-31 16:20:00+00:00,2018-03-31 18:37:08.415345+00:00,2018-04-01 00:00:00+00:00
EL245,Under Investigation,2018-03-31 15:44:00+00:00,2018-03-31 18:14:08.370181+00:00,2018-04-01 00:00:00+00:00
EL498,Under Investigation,2018-03-31 15:12:00+00:00,2018-04-02 22:05:09.963287+00:00,2018-04-01 00:00:00+00:00
EL341,Under Investigation,2018-03-31 14:00:00+00:00,2018-04-01 01:49:13.592855+00:00,2018-04-01 00:00:00+00:00
EL341,Under Investigation,2018-03-31 15:23:00+00:00,2018-03-31 15:34:10.528797+00:00,2018-04-01 00:00:00+00:00
EL104,Under Investigation,2018-03-31 14:52:00+00:00,2018-03-31 16:05:08.789923+00:00,2018-03-31 23:00:00+00:00
EL397,Under Investigation,2018-03-31 14:15:00+00:00,2018-03-31 14:40:07.714383+00:00,2018-03-31 22:00:00+00:00
EL437,Under Investigation,2018-03-31 14:01:00+00:00,2018-03-31 17:23:10.217358+00:00,2018-04-01 00:00:00+00:00
EL277,Under Investigation,2018-03-31 14:05:00+00:00,2018-03-31 15:37:08.455775+00:00,2018-03-31 22:00:00+00:00
EL187,Under Investigation,2018-03-31 12:35:00+00:00,2018-03-31 13:34:08.988586+00:00,2018-03-31 21:00:00+00:00
EL710,Under Investigation,2018-03-31 10:53:00+00:00,2018-03-31 12:47:09.266692+00:00,2018-03-31 19:00:00+00:00
EL761,Under Investigation,2018-03-31 08:44:00+00:00,2018-03-31 16:03:08.099222+00:00,2018-03-31 16:00:00+00:00
EL223,Repair,2018-03-31 05:45:00+00:00,2018-03-31 08:29:08.885267+00:00,2018-03-31 10:00:00+00:00
EL104,Under Investigation,2018-03-31 05:27:00+00:00,2018-03-31 07:19:09.659895+00:00,2018-03-31 13:00:00+00:00
EL413,Under Investigation,2018-03-31 05:20:00+00:00,2018-04-01 00:39:08.497620+00:00,2018-03-31 14:00:00+00:00
EL222,Maintenance,2018-03-31 04:33:00+00:00,2018-03-31 05:43:08.592223+00:00,2018-03-31 10:00:00+00:00
EL430,Maintenance,2018-03-31 03:45:00+00:00,2018-03-31 08:04:09.425816+00:00,2018-03-31 10:00:00+00:00
EL335,Maintenance,2018-03-31 03:55:00+00:00,2018-03-31 09:17:08.993071+00:00,2018-03-31 10:00:00+00:00
EL425,Maintenance,2018-03-31 03:48:00+00:00,2018-03-31 09:16:09.610153+00:00,2018-03-31 09:00:00+00:00
EL221,Repair,2018-03-31 03:50:00+00:00,2018-03-31 04:34:08.712585+00:00,2018-03-31 10:00:00+00:00
EL420,Maintenance,2018-03-31 03:43:00+00:00,2018-03-31 08:30:06.893254+00:00,2018-03-31 10:00:00+00:00
EL224,Maintenance,2018-03-31 03:20:00+00:00,2018-03-31 09:11:09.124687+00:00,2018-03-31 10:00:00+00:00
EL110,Under Investigation,2018-03-31 03:26:00+00:00,2018-03-31 05:07:08.426648+00:00,2018-03-31 12:00:00+00:00
EL204,Under Investigation,2018-03-31 02:46:00+00:00,2018-03-31 06:01:08.402554+00:00,2018-03-31 10:00:00+00:00
EL142,Under Investigation,2018-03-31 02:59:00+00:00,2018-03-31 05:43:08.592223+00:00,2018-03-31 11:00:00+00:00
EL104,Under Investigation,2018-03-31 01:56:00+00:00,2018-03-31 04:46:09.627565+00:00,2018-03-31 10:00:00+00:00
EL107,Repair,2018-03-31 01:31:00+00:00,2018-04-01 09:03:11.023798+00:00,2018-03-31 10:00:00+00:00
EL602,Under Investigation,2018-03-31 00:22:00+00:00,2018-03-31 02:17:08.467186+00:00,2018-03-31 09:00:00+00:00
EL137,Under Investigation,2018-03-31 00:11:00+00:00,2018-03-31 06:07:08.546982+00:00,2018-03-31 09:00:00+00:00
EL104,Under Investigation,2018-03-30 23:47:00+00:00,2018-03-31 02:23:08.819402+00:00,2018-03-31 08:00:00+00:00
EL425,Under Investigation,2018-03-30 23:12:00+00:00,2018-03-31 00:05:08.580121+00:00,2018-03-31 04:00:00+00:00
EL125,Under Investigation,2018-03-30 22:39:00+00:00,2018-03-31 00:15:07.270219+00:00,2018-03-31 07:00:00+00:00
EL397,Under Investigation,2018-03-30 22:33:00+00:00,2018-03-31 02:45:07.092231+00:00,2018-03-31 07:00:00+00:00
EL204,Under Investigation,2018-03-30 22:17:00+00:00,2018-03-30 22:34:09.010817+00:00,2018-03-31 07:00:00+00:00
EL601,Under Investigation,2018-03-30 21:25:00+00:00,2018-03-30 23:36:08.256389+00:00,2018-03-31 06:00:00+00:00
EL135,Under Investigation,2018-03-30 21:27:00+00:00,2018-03-31 00:27:08.278397+00:00,2018-03-31 06:00:00+00:00
EL401,Under Investigation,2018-03-30 21:06:00+00:00,2018-03-30 21:21:08.160089+00:00,2018-03-31 06:00:00+00:00
EL716,Under Investigation,2018-03-30 20:45:00+00:00,2018-03-30 22:25:08.597816+00:00,2018-03-31 04:00:00+00:00
EL277,Under Investigation,2018-03-30 20:12:00+00:00,2018-03-30 22:04:08.649741+00:00,2018-03-31 05:00:00+00:00
EL311,Under Investigation,2018-03-30 19:55:00+00:00,2018-03-30 23:07:08.064210+00:00,2018-03-31 04:00:00+00:00
EL204,Under Investigation,2018-03-30 19:55:00+00:00,2018-03-30 22:17:09.287702+00:00,2018-03-31 04:00:00+00:00
EL341,Under Investigation,2018-03-30 19:49:00+00:00,2018-03-31 09:26:09.084739+00:00,2018-03-31 04:00:00+00:00
EL202,Under Investigation,2018-03-30 19:35:00+00:00,2018-03-30 23:18:08.601416+00:00,2018-03-31 04:00:00+00:00
EL103,Under Investigation,2018-03-30 19:30:00+00:00,2018-03-30 23:17:09.432444+00:00,2018-03-31 04:00:00+00:00
EL225,Repair,2018-03-30 18:35:00+00:00,2018-03-30 19:02:08.550328+00:00,2018-03-31 02:00:00+00:00
EL216,Repair,2018-03-30 17:35:00+00:00,2018-03-30 18:58:09.776037+00:00,2018-03-31 00:00:00+00:00
EL329,Under Investigation,2018-03-30 17:06:00+00:00,2018-03-30 17:37:09.598989+00:00,2018-03-31 02:00:00+00:00
EL344,Under Investigation,2018-03-30 16:42:00+00:00,2018-03-30 20:51:08.684548+00:00,2018-03-31 01:00:00+00:00
EL129,Under Investigation,2018-03-30 16:45:00+00:00,2018-03-31 09:33:08.996625+00:00,2018-03-31 01:00:00+00:00
EL213,Under Investigation,2018-03-30 16:28:00+00:00,2018-03-30 20:06:09.028577+00:00,2018-03-31 01:00:00+00:00
EL126,Under Investigation,2018-03-30 15:35:00+00:00,2018-03-30 17:39:08.762351+00:00,2018-03-31 00:00:00+00:00
EL301,Repair,2018-03-30 15:55:00+00:00,2018-03-30 18:34:08.929481+00:00,2018-03-30 20:00:00+00:00
EL119,Maintenance,2018-03-30 15:50:00+00:00,2018-03-30 20:32:08.529617+00:00,2018-03-31 00:00:00+00:00
EL443,Repair,2018-03-30 15:40:00+00:00,2018-03-30 16:52:08.566263+00:00,2018-03-31 00:00:00+00:00
EL730,Maintenance,2018-03-30 15:35:00+00:00,2018-03-30 16:02:08.441514+00:00,2018-03-30 22:00:00+00:00
EL104,Under Investigation,2018-03-30 14:13:00+00:00,2018-03-30 15:40:07.992987+00:00,2018-03-30 23:00:00+00:00
EL232,Repair,2018-03-30 14:10:00+00:00,2018-03-30 18:33:09.239264+00:00,2018-03-30 19:00:00+00:00
EL330,Repair,2018-03-30 14:00:00+00:00,2018-03-30 23:02:09.723307+00:00,2018-03-30 22:00:00+00:00
EL319,Maintenance,2018-03-30 13:35:00+00:00,2018-03-30 19:08:09.704246+00:00,2018-03-30 22:00:00+00:00
EL414,Repair,2018-03-30 13:30:00+00:00,2018-03-30 17:53:08.609641+00:00,2018-03-30 22:00:00+00:00
EL303,Repair,2018-03-30 13:00:00+00:00,2018-03-30 15:58:08.395513+00:00,2018-03-30 21:00:00+00:00
EL325,Repair,2018-03-30 12:25:00+00:00,2018-03-30 14:12:07.592010+00:00,2018-03-30 19:00:00+00:00
EL761,Under Investigation,2018-03-30 12:04:00+00:00,2018-03-30 14:00:07.655288+00:00,2018-03-30 21:00:00+00:00
EL437,Repair,2018-03-30 12:07:00+00:00,2018-03-30 21:54:08.715095+00:00,2018-03-30 20:00:00+00:00
EL120,Under Investigation,2018-03-30 11:55:00+00:00,2018-03-30 14:19:09.621174+00:00,2018-03-30 20:00:00+00:00
EL441,Maintenance,2018-03-30 11:55:00+00:00,2018-03-30 15:10:07.104848+00:00,2018-03-30 20:00:00+00:00
EL107,Under Investigation,2018-03-30 10:57:00+00:00,2018-03-30 13:43:08.730346+00:00,2018-03-30 19:00:00+00:00
EL266,Under Investigation,2018-03-30 10:35:00+00:00,2018-03-30 14:02:08.348172+00:00,2018-03-30 19:00:00+00:00
EL114,Under Investigation,2018-03-30 08:20:00+00:00,2018-03-30 10:49:08.323043+00:00,2018-03-30 17:00:00+00:00
EL447,Maintenance,2018-03-30 07:35:00+00:00,2018-03-30 08:46:09.513498+00:00,2018-03-30 10:00:00+00:00
EL142,Under Investigation,2018-03-30 06:57:00+00:00,2018-03-30 13:42:08.445489+00:00,2018-03-30 15:00:00+00:00
EL224,Maintenance,2018-03-30 06:55:00+00:00,2018-03-30 09:11:09.130109+00:00,2018-03-30 10:00:00+00:00
EL234,Access Improvements,2018-03-30 06:50:00+00:00,2018-03-30 09:07:09.646383+00:00,2018-03-30 09:00:00+00:00
EL189,Maintenance,2018-03-30 06:22:00+00:00,2018-03-30 09:00:06.907135+00:00,2018-03-30 10:00:00+00:00
EL117,Maintenance,2018-03-30 06:00:00+00:00,2018-03-30 09:03:08.767117+00:00,2018-03-30 13:00:00+00:00
EL446,Repair,2018-03-30 05:30:00+00:00,2018-03-30 06:59:09.458779+00:00,2018-03-30 10:00:00+00:00
EL319,Maintenance,2018-03-30 04:06:00+00:00,2018-03-30 08:40:08.936258+00:00,2018-03-30 09:00:00+00:00
EL319,Maintenance,2018-03-30 04:05:00+00:00,2018-03-30 04:10:08.192010+00:00,2018-03-30 09:00:00+00:00
EL335,Maintenance,2018-03-30 03:56:00+00:00,2018-03-30 08:56:09.259700+00:00,2018-03-30 10:00:00+00:00
EL427,Repair,2018-03-30 03:50:00+00:00,2018-03-30 04:52:08.326995+00:00,2018-03-30 09:00:00+00:00
EL281,Maintenance,2018-03-30 03:52:00+00:00,2018-03-30 09:16:09.021941+00:00,2018-03-30 09:00:00+00:00
EL382,Inspection,2018-03-30 03:00:00+00:00,2018-03-30 08:01:07.774337+00:00,2018-03-30 10:00:00+00:00
EL370,Inspection,2018-03-30 03:32:00+00:00,2018-03-30 08:31:08.441443+00:00,2018-03-30 10:00:00+00:00
EL138,Maintenance,2018-03-30 03:25:00+00:00,2018-03-30 08:59:09.860225+00:00,2018-03-30 09:00:00+00:00
EL214,Repair,2018-03-30 03:25:00+00:00,2018-03-30 15:12:08.202753+00:00,2018-03-30 09:00:00+00:00
EL432,Maintenance,2018-03-30 03:25:00+00:00,2018-03-30 08:55:08.283915+00:00,2018-03-30 09:00:00+00:00
EL329,Under Investigation,2018-03-30 03:00:00+00:00,2018-03-30 05:44:09.202845+00:00,2018-03-30 13:00:00+00:00
EL104,Under Investigation,2018-03-30 00:09:00+00:00,2018-03-30 05:07:08.933631+00:00,2018-03-30 09:00:00+00:00
EL221,Under Investigation,2018-03-30 01:04:00+00:00,2018-03-30 05:59:08.766210+00:00,2018-03-30 04:00:00+00:00
EL104,Under Investigation,2018-03-30 00:57:00+00:00,2018-03-30 02:49:08.273370+00:00,2018-03-30 09:00:00+00:00
EL425,Under Investigation,2018-03-29 23:50:00+00:00,2018-03-30 01:04:09.695962+00:00,2018-03-30 08:00:00+00:00
EL193,Under Investigation,2018-03-29 23:06:00+00:00,2018-03-30 00:43:08.261253+00:00,2018-03-30 08:00:00+00:00
EL129,Under Investigation,2018-03-29 22:46:00+00:00,2018-03-30 09:04:08.543227+00:00,2018-03-30 07:00:00+00:00
EL710,Under Investigation,2018-03-29 22:35:00+00:00,2018-03-29 23:27:08.671757+00:00,2018-03-30 07:00:00+00:00
EL144,Under Investigation,2018-03-29 21:45:00+00:00,2018-03-30 01:04:09.695962+00:00,2018-03-30 06:00:00+00:00
EL103,Under Investigation,2018-03-29 21:14:00+00:00,2018-03-29 23:28:09.343170+00:00,2018-03-30 07:00:00+00:00
EL221,Under Investigation,2018-03-29 20:39:00+00:00,2018-03-29 22:56:09.543367+00:00,2018-03-30 06:00:00+00:00
EL245,Under Investigation,2018-03-29 20:26:00+00:00,2018-03-29 21:38:09.402541+00:00,2018-03-30 05:00:00+00:00
EL316,Under Investigation,2018-03-29 20:24:00+00:00,2018-03-29 22:04:09.240218+00:00,2018-03-30 05:00:00+00:00
EL111,Under Investigation,2018-03-29 20:04:00+00:00,2018-03-29 21:17:09.902103+00:00,2018-03-30 05:00:00+00:00
EL183,Repair,2018-03-29 19:55:00+00:00,2018-03-29 21:52:08.059533+00:00,2018-03-30 04:00:00+00:00
EL186,Repair,2018-03-29 19:30:00+00:00,2018-03-29 23:08:08.472128+00:00,2018-03-30 03:00:00+00:00
EL145,Under Investigation,2018-03-29 17:53:00+00:00,2018-03-30 00:40:08.316371+00:00,2018-03-30 02:00:00+00:00
EL324,Maintenance,2018-03-29 18:19:00+00:00,2018-03-29 19:04:10.073752+00:00,2018-03-30 02:00:00+00:00
EL333,Under Investigation,2018-03-29 18:10:00+00:00,2018-03-29 20:58:08.214428+00:00,2018-03-30 05:00:00+00:00
EL266,Under Investigation,2018-03-29 16:46:00+00:00,2018-03-29 20:59:09.084214+00:00,2018-03-30 01:00:00+00:00
EL232,Repair,2018-03-29 16:39:00+00:00,2018-03-29 18:21:09.016891+00:00,2018-03-29 20:00:00+00:00
EL145,Under Investigation,2018-03-29 15:19:00+00:00,2018-03-29 15:47:08.096019+00:00,2018-03-30 00:00:00+00:00
EL230,Under Investigation,2018-03-29 15:12:00+00:00,2018-03-29 17:57:08.677884+00:00,2018-03-30 00:00:00+00:00
EL142,Maintenance,2018-03-29 14:55:00+00:00,2018-03-29 15:56:08.601489+00:00,2018-03-29 23:00:00+00:00
EL129,Repair,2018-03-29 14:41:00+00:00,2018-03-29 15:37:08.713553+00:00,2018-03-29 23:00:00+00:00
EL239,Under Investigation,2018-03-29 14:25:00+00:00,2018-03-29 17:52:09.648433+00:00,2018-03-29 23:00:00+00:00
EL397,Repair,2018-03-29 14:15:00+00:00,2018-03-29 15:24:07.775820+00:00,2018-03-29 22:00:00+00:00
EL144,Under Investigation,2018-03-29 14:10:00+00:00,2018-03-29 17:57:08.677884+00:00,2018-03-29 22:00:00+00:00
