station,mta_id,location
61 St - Woodside - (ID: 80),EL417X,MEZZANINE TO UPTOWN
Pelham Pkwy - (ID: 90),EL137,MEZZANINE TO SOUTHBOUND PLATFORM
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN
Borough Hall - (ID: 85),EL318,MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS
Bay Parkway - (ID: 59),EL378,MEZZANINE TO DOWNTOWN
West 4 St - Washington Sq - (ID: 55),EL335,MIDDLE MEZZANINE TO UPTOWN PLATFORMS
West 4 St - Washington Sq - (ID: 55),EL334,MIDDLE MEZZANINE TO DOWNTOWN PLATFORMS
21 St - Queensbridge - (ID: 89),EL406,MEZZANINE TO DOWNTOWN
Lexington Av / 53 St - (ID: 88),EL245,MEZZANINE TO PLATFORM
Brooklyn Bridge - City Hall - (ID: 33),EL316,MEZZANINE TO UPTOWN
Clark St - (ID: 10),EL310,LOWER MEZZANINE TO STREET
72 St / 2 Av - (ID: 62),EL265,LOWER MEZZANINE TO STREET
East 180 St - (ID: 87),EL159,STREET TO UPTOWN PLATFORM
Hunts Point - (ID: 46),EL197,SOUTHBOUND PLATFORM TO MEZZANINE
Hunts Point - (ID: 46),EL196,NORTHBOUND PLATFORM TO MEZZANINE
23 St - (ID: 86),EL299,SOUTHBOUND PLATFORM TO STREET
96 St / 2 Av - (ID: 61),EL248,MEZZANINE TO STREET
Atlantic Av-Barclays Ctr - (ID: 9),EL304,"MEZZANINE TO DOWNTOWN 2,3 PLATFORM"
Borough Hall - (ID: 85),EL317,STREET TO MEZZANINE
Broadway-Lafayette/Bleecker St - (ID: 40),EL329,DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE
72 St / 2 Av - (ID: 62),EL264,LOWER MEZZANINE TO STREET
Utica Av - (ID: 77),EL345,NORTHBOUND PLATFORM TO MEZZANINE
Prospect Park - (ID: 37),EL382,STREET TO UPTOWN PLATFORM
Euclid Av - (ID: 32),EL343,MEZZANINE TO DOWNTOWN
Queens Plaza - (ID: 84),EL429,MEZZANINE TO DOWNTOWN
72 St / 2 Av - (ID: 62),EL259,PLATFORM TO LOWER MEZZANINE
Ozone Park / Lefferts Blvd - (ID: 83),EL462,STREET TO MEZZANINE
Court Square - (ID: 68),EL446,STREET TO MEZZANINE
Junction Blvd - (ID: 73),EL427,OVERPASS TO UPTOWN PLATFORM
Lexington Av / 63 St - (ID: 17),EL444,MEZZANINE TO STREET
Howard Beach - (ID: 82),EL492X,MEZZANINE TO DOWNTOWN
168 St - (ID: 81),EL140,MEZZANINE TO NORTHBOUND PLATFORM
34 St - Penn - (ID: 53),EL226,UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE
61 St - Woodside - (ID: 80),EL415X,STREET TO LIRR PLATFORM A & MEZZANINE
42 St - Bryant Park - (ID: 79),EL295X,NW Corner of 39th & 6th
34 St - Herald Sq - (ID: 22),EL211,MEZZANINE TO DOWNTOWN
Jay St - Metrotech - (ID: 16),EL708,MEZZANINE AND DOWNTOWN
34 St - Herald Sq - (ID: 22),EL210,MEZZANINE TO UPTOWN
Atlantic Av-Barclays Ctr - (ID: 9),EL307,"MIDDLE MEZZANINE TO B,Q PLATFORM"
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL411,MEZZANINE TO PLATFORM
Jackson Hts - Roosevelt Av - (ID: 14),EL423,MEZZANINE TO DOWNTOWN 7
168 St - (ID: 47),EL112,LOWER MEZZANINE TO UPPER MEZZANINE
Utica Av - (ID: 77),EL344,STREET TO MEZZANINE
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET
191 St - (ID: 28),EL106,LOWER MEZZANINE TO UPPER MEZZANINE
Simpson St - (ID: 38),EL128,STREET TO DOWNTOWN PLATFORM
125 St - (ID: 1),EL143,MEZZANINE AND DOWNTOWN
Times Sq - 42 St - (ID: 18),EL230,MEZZANINE TO UPTOWN
Bowling Green - (ID: 71),EL711,MEZZANINE TO DOWNTOWN
47-50 St - Rockefeller Ctr - (ID: 50),EL234,STREET TO MEZZANINE
49 St - (ID: 75),EL268X,STREET TO MEZZANINE
Court Square - (ID: 68),EL447,LEVEL 2 TO MEZZANINE
42 St - Grand Central - (ID: 49),EL205,"MEZZANINE TO DOWNTOWN 4,5,6 PLATFORM"
233 St - (ID: 44),EL193,MEZZANINE TO DOWNTOWN PLATFORM
