elevator,reason,out_of_service,first_missed,estimated_return
EL336,Inspection,2018-02-22 04:05:00+00:00,2018-02-22 09:37:08.011279+00:00,2018-02-22 11:00:00+00:00
EL222,Repair,2018-02-20 16:45:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-22 17:00:00+00:00
EL402,Access Improvements,2018-02-22 15:31:00+00:00,2018-02-22 17:58:09.067708+00:00,2018-02-22 19:00:00+00:00
EL240,Inspection,2018-02-22 09:21:00+00:00,2018-02-22 11:40:05.839098+00:00,2018-02-22 19:00:00+00:00
EL105,Maintenance,2018-02-21 17:10:00+00:00,2018-02-22 00:06:07.538184+00:00,2018-02-22 19:00:00+00:00
EL225,Under Investigation,2018-02-22 15:10:00+00:00,2018-02-22 19:29:07.922239+00:00,2018-02-22 20:00:00+00:00
EL700X,Repair,2018-02-20 20:45:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-22 21:00:00+00:00
EL311,Repair,2018-02-20 22:29:00+00:00,2018-02-22 00:28:07.057710+00:00,2018-02-22 23:00:00+00:00
EL431,Repair,2018-02-20 23:24:00+00:00,2018-02-21 14:03:38.398316+00:00,2018-02-23 00:00:00+00:00
EL321,Repair,2018-02-22 16:15:00+00:00,2018-02-22 20:15:08.513511+00:00,2018-02-23 03:00:00+00:00
EL716,Repair,2018-02-22 14:18:00+00:00,2018-02-22 20:30:06.111053+00:00,2018-02-23 03:00:00+00:00
EL323,Repair,2018-02-22 15:45:00+00:00,2018-02-22 19:54:05.945254+00:00,2018-02-23 04:00:00+00:00
EL302,Repair,2018-02-21 03:26:00+00:00,2018-02-21 05:15:19.689911+00:00,2018-02-23 04:00:00+00:00
EL602,Under Investigation,2018-02-22 16:33:00+00:00,2018-02-23 08:31:07.699664+00:00,2018-02-23 05:00:00+00:00
EL305,Under Investigation,2018-02-22 04:55:00+00:00,2018-02-22 06:34:06.697048+00:00,2018-02-23 05:00:00+00:00
EL420,Under Investigation,2018-02-22 04:23:00+00:00,2018-02-22 04:46:07.632520+00:00,2018-02-23 05:00:00+00:00
EL281,Under Investigation,2018-02-21 23:15:00+00:00,2018-02-22 01:05:07.047321+00:00,2018-02-23 05:00:00+00:00
EL276X,Under Investigation,2018-02-21 16:18:00+00:00,2018-02-21 20:16:07.516717+00:00,2018-02-23 05:00:00+00:00
EL720,Under Investigation,2018-02-21 13:58:00+00:00,2018-02-21 16:29:06.950252+00:00,2018-02-23 05:00:00+00:00
EL200X,Repair,2018-02-21 05:15:00+00:00,2018-02-21 20:17:06.934901+00:00,2018-02-23 06:00:00+00:00
EL105,Under Investigation,2018-02-22 20:58:00+00:00,2018-02-22 22:20:07.380131+00:00,2018-02-23 09:00:00+00:00
EL108,Access Improvements,2018-02-23 07:50:00+00:00,2018-02-23 09:07:08.507786+00:00,2018-02-23 11:00:00+00:00
EL103,Maintenance,2018-02-23 06:17:00+00:00,2018-02-23 07:36:06.262293+00:00,2018-02-23 11:00:00+00:00
EL322,Inspection,2018-02-23 04:47:00+00:00,2018-02-23 09:42:06.986183+00:00,2018-02-23 11:00:00+00:00
EL118,Maintenance,2018-02-23 05:01:00+00:00,2018-02-23 10:56:07.665762+00:00,2018-02-23 11:00:00+00:00
EL227,Maintenance,2018-02-23 04:45:00+00:00,2018-02-23 09:56:08.601889+00:00,2018-02-23 11:00:00+00:00
