station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
34 St - Herald Sq - (ID: 22),EL210,MEZZANINE TO UPTOWN,2018-04-01T07:15:00.000Z,2018-04-01T09:15:09.890Z,2018-04-01T10:00:00.000Z,2.0027472222222222
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM,2018-04-01T08:52:00.000Z,2018-04-01T17:50:07.902Z,2018-04-01T17:00:00.000Z,8.968861666666667
28 St - (ID: 6),EL279X,STREET TO MEZZANINE,2018-04-01T04:20:00.000Z,,2018-04-01T13:00:00.000Z,0
Clark St - (ID: 10),EL310,LOWER MEZZANINE TO STREET,2018-04-01T07:42:00.000Z,2018-04-01T09:45:08.660Z,2018-04-01T16:00:00.000Z,2.0524055555555556
42 St - Grand Central - (ID: 49),EL206,MEZZANINE TO UPTOWN 4/5/6 PLATFORM,2018-04-01T07:12:00.000Z,2018-04-01T12:36:09.616Z,2018-04-01T16:00:00.000Z,5.402671111111112
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE,2018-04-01T06:52:00.000Z,2018-04-01T09:11:11.506Z,2018-04-01T10:00:00.000Z,2.319862777777778
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN,2018-04-01T06:57:00.000Z,2018-04-01T09:28:11.304Z,2018-04-01T15:00:00.000Z,2.5198066666666668
Prospect Park - (ID: 37),EL382,STREET TO UPTOWN PLATFORM,2018-04-01T01:15:00.000Z,2018-04-01T06:42:10.441Z,2018-04-01T10:00:00.000Z,5.452900277777777
Prospect Park - (ID: 37),EL383,STREET TO DOWNTOWN PLATFORM,2018-04-01T01:15:00.000Z,2018-04-01T06:42:10.441Z,2018-04-01T10:00:00.000Z,5.452900277777777
34 St - Herald Sq - (ID: 22),EL209,MEZZANINE TO DOWNTOWN,2018-04-01T05:06:00.000Z,2018-04-01T05:18:09.913Z,2018-04-01T14:00:00.000Z,0.20275361111111112
Kew Gardens / Union Tpk - (ID: 48),EL436,MEZZANINE TO PLATFORM,2018-04-01T04:46:00.000Z,2018-04-01T09:19:10.518Z,2018-04-01T13:00:00.000Z,4.552921666666666
West 4 St - Washington Sq - (ID: 55),EL333,STREET TO MEZZANINE,2018-04-01T04:15:00.000Z,2018-04-01T10:58:10.265Z,2018-04-01T13:00:00.000Z,6.719518055555556
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET,2018-04-01T03:22:00.000Z,2018-04-01T04:41:08.893Z,2018-04-01T12:00:00.000Z,1.3191369444444445
34 St - Herald Sq - (ID: 22),EL210,MEZZANINE TO UPTOWN,2018-04-01T03:30:00.000Z,2018-04-01T06:14:11.189Z,2018-04-01T10:00:00.000Z,2.736441388888889
181 St - (ID: 58),EL117,LOWER MEZZANINE TO STREET,2018-04-01T02:34:00.000Z,2018-04-01T03:41:11.005Z,2018-04-01T11:00:00.000Z,1.1197236111111113
Marcy Av - (ID: 64),EL391,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-04-01T02:34:00.000Z,2018-04-01T08:40:09.854Z,2018-04-01T11:00:00.000Z,6.102737222222221
125 St - (ID: 1),EL144,MEZZANINE AND UPTOWN,2018-04-01T00:47:00.000Z,2018-04-01T04:21:09.681Z,2018-04-01T09:00:00.000Z,3.5693558333333333
Fordham Rd - (ID: 96),EL187,MEZZANINE TO UPTOWN,2018-03-31T23:09:00.000Z,,2018-04-01T04:00:00.000Z,0
8 Av - (ID: 91),EL224,MEZZANINE TO PLATFORM,2018-03-31T22:59:00.000Z,2018-04-01T09:29:13.162Z,2018-04-01T07:00:00.000Z,10.503656111111109
96 St - (ID: 42),EL145,STREET TO DOWNTOWN PLATFORM,2018-03-31T22:17:00.000Z,2018-04-01T00:43:08.160Z,2018-04-01T07:00:00.000Z,2.4356
Fordham Rd - (ID: 96),EL188,MEZZANINE TO DOWNTOWN,2018-03-31T22:08:00.000Z,2018-03-31T23:10:08.359Z,2018-04-01T07:00:00.000Z,1.0356552777777777
Jay St - Metrotech - (ID: 16),EL706,STREET TO MEZZANINE,2018-03-31T21:05:00.000Z,2018-03-31T22:52:09.624Z,2018-04-01T06:00:00.000Z,1.7860066666666665
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-31T21:00:00.000Z,2018-04-01T00:13:08.199Z,2018-04-01T05:00:00.000Z,3.2189441666666667
Dekalb Av - (ID: 12),EL372,MEZZANINE TO DOWNTOWN,2018-03-31T20:58:00.000Z,2018-03-31T22:08:08.594Z,2018-04-01T05:00:00.000Z,1.1690538888888888
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-31T20:15:00.000Z,2018-03-31T21:20:07.774Z,2018-04-01T05:00:00.000Z,1.0854927777777776
Junction Blvd - (ID: 73),EL425,STREET TO MEZZANINE & OVERPASS,2018-03-31T20:05:00.000Z,2018-03-31T22:02:08.346Z,2018-04-01T05:00:00.000Z,1.9523183333333334
34 St - Herald Sq - (ID: 22),EL210,MEZZANINE TO UPTOWN,2018-03-31T19:51:00.000Z,2018-04-01T00:51:09.031Z,2018-04-01T04:00:00.000Z,5.002508611111111
66 St - Lincoln Center - (ID: 98),EL237,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-31T19:34:00.000Z,2018-04-01T14:43:10.147Z,2018-04-01T04:00:00.000Z,19.152818611111112
179 St - Jamaica - (ID: 4),EL431,STREET TO MEZZANINE,2018-03-31T19:40:00.000Z,2018-04-01T09:19:10.518Z,2018-04-01T10:00:00.000Z,13.652921666666666
179 St - Jamaica - (ID: 4),EL431,STREET TO MEZZANINE,2018-03-31T19:00:00.000Z,2018-03-31T19:45:08.236Z,2018-04-01T10:00:00.000Z,0.7522877777777777
34 St - Penn - (ID: 7),EL214,MEZZANINE TO UPTOWN LOCAL PLATFORM,2018-03-31T19:15:00.000Z,2018-03-31T22:35:09.299Z,2018-04-01T04:00:00.000Z,3.335916388888889
161 St - Yankee Stadium - (ID: 3),EL133,MEZZANINES TO DOWNTOWN 4 PLATFORM,2018-03-31T18:50:00.000Z,2018-04-02T00:27:09.868Z,2018-04-01T03:00:00.000Z,29.619407777777777
191 St - (ID: 28),EL105,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-31T18:35:00.000Z,2018-03-31T20:00:06.836Z,2018-04-01T03:00:00.000Z,1.4185655555555556
34 St - Penn - (ID: 53),EL225,STREET TO UPTOWN LOCAL PLATFORM,2018-03-31T18:38:00.000Z,2018-03-31T23:35:07.848Z,2018-04-01T03:00:00.000Z,4.95218
