station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-23T13:27:00.000Z,2018-03-23T16:34:08.840Z,2018-03-23T22:00:00.000Z,3.1191222222222224
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS,2018-03-23T13:18:00.000Z,2018-03-23T17:24:07.456Z,2018-03-23T22:00:00.000Z,4.102071111111111
190 St - (ID: 51),EL116,LOWER MEZZANINE TO STREET,2018-03-23T12:46:00.000Z,2018-03-23T15:07:08.488Z,2018-03-23T21:00:00.000Z,2.3523577777777773
Sutphin Blvd - Archer Av - Jfk Airport - (ID: 78),EL411,MEZZANINE TO PLATFORM,2018-03-23T12:50:00.000Z,2018-03-23T14:13:08.072Z,2018-03-23T21:00:00.000Z,1.3855755555555556
Times Sq - 42 St - (ID: 18),EL233,MEZZANINE AND UPTOWN 1/2/3 TRAINS PLATFORM,2018-03-23T12:45:00.000Z,2018-03-23T13:59:08.871Z,2018-03-23T21:00:00.000Z,1.2357975
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-23T12:15:00.000Z,2018-03-24T00:07:08.428Z,2018-03-23T23:00:00.000Z,11.869007777777776
191 St - (ID: 28),EL105,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-23T11:02:00.000Z,2018-03-23T13:07:09.701Z,2018-03-23T20:00:00.000Z,2.0860280555555555
Lexington Av / 63 St - (ID: 17),EL441,MEZZANINE TO PLATFORMS,2018-03-23T11:00:00.000Z,2018-03-23T12:40:06.979Z,2018-03-23T21:00:00.000Z,1.668605277777778
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-23T09:47:00.000Z,2018-03-23T12:49:09.256Z,2018-03-23T18:00:00.000Z,3.035904444444444
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-03-23T10:02:00.000Z,2018-03-23T13:53:09.176Z,2018-03-23T18:00:00.000Z,3.852548888888889
14 St - (ID: 2),EL222,MEZZANINE TO DOWNTOWN A/C&E  PLATFORM,2018-03-23T09:29:00.000Z,2018-03-23T16:31:08.779Z,2018-03-23T13:00:00.000Z,7.035771944444444
Chambers St - (ID: 41),EL336,STREET TO MEZZANINE,2018-03-23T06:04:00.000Z,2018-03-23T09:17:09.445Z,2018-03-23T10:00:00.000Z,3.2192902777777777
Atlantic Av-Barclays Ctr - (ID: 8),EL302,MEZZANINE TO DOWNTOWN,2018-03-23T05:51:00.000Z,2018-03-23T09:01:08.150Z,2018-03-23T10:00:00.000Z,3.1689305555555554
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-23T05:45:00.000Z,2018-03-23T10:11:10.220Z,2018-03-23T10:00:00.000Z,4.436172222222222
34 St - Penn - (ID: 7),EL214,MEZZANINE TO UPTOWN LOCAL PLATFORM,2018-03-23T04:10:00.000Z,2018-03-23T08:36:08.253Z,2018-03-23T10:00:00.000Z,4.435625833333334
Chambers St - (ID: 41),EL338,MEZZANINE TO DOWNTOWN,2018-03-23T03:40:00.000Z,2018-03-23T06:05:07.529Z,2018-03-23T12:00:00.000Z,2.4187580555555557
161 St - Yankee Stadium - (ID: 3),EL134,MEZZANINE TO DOWNTOWN B/ D,2018-03-23T03:21:00.000Z,2018-03-23T09:02:08.961Z,2018-03-23T12:00:00.000Z,5.6858225
Dekalb Av - (ID: 12),EL370,STREET TO MEZZANINE,2018-03-23T03:20:00.000Z,2018-03-23T08:43:08.231Z,2018-03-23T10:00:00.000Z,5.385619722222222
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-03-23T01:42:00.000Z,2018-03-23T06:38:07.929Z,2018-03-23T10:00:00.000Z,4.935535833333334
149 St - 3 Av - (ID: 45),EL129,STREET TO UPTOWN PLATFORM,2018-03-23T01:42:00.000Z,2018-03-23T06:04:09.528Z,2018-03-23T10:00:00.000Z,4.369313333333333
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7),2018-03-23T00:00:00.000Z,2018-03-23T15:37:08.817Z,2018-03-23T08:00:00.000Z,15.619115833333334
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-03-22T23:02:00.000Z,2018-03-23T00:33:08.435Z,2018-03-23T08:00:00.000Z,1.5190097222222223
Chambers St - (ID: 41),EL337,MEZZANINE TO UPTOWN,2018-03-22T22:54:00.000Z,2018-03-23T08:42:08.748Z,2018-03-23T04:00:00.000Z,9.80243
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-03-22T22:23:00.000Z,2018-03-23T09:20:07.737Z,2018-03-23T07:00:00.000Z,10.952149166666667
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T21:09:00.000Z,2018-03-22T22:43:09.280Z,2018-03-23T05:00:00.000Z,1.5692444444444442
Utica Av - (ID: 77),EL346,SOUTHBOUND PLATFORM TO MEZZANINE,2018-03-22T21:09:00.000Z,2018-03-23T01:08:08.189Z,2018-03-23T06:00:00.000Z,3.9856080555555553
Kings Highway - (ID: 35),EL761,STREET TO DOWNTOWN PLATFORM,2018-03-22T20:29:00.000Z,2018-03-22T23:28:08.742Z,2018-03-23T05:00:00.000Z,2.985761666666667
168 St - (ID: 47),EL114,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T20:00:00.000Z,2018-03-22T21:52:08.020Z,2018-03-23T04:00:00.000Z,1.8688944444444444
Lexington Av / 63 St - (ID: 17),EL440,MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM,2018-03-22T19:50:00.000Z,2018-03-22T19:58:08.369Z,2018-03-23T02:00:00.000Z,0.13565805555555557
Bowling Green - (ID: 71),EL711,MEZZANINE TO DOWNTOWN,2018-03-22T18:40:00.000Z,2018-03-22T21:39:08.968Z,2018-03-23T03:00:00.000Z,2.985824444444445
Myrtle Av / Wyckoff Av - (ID: 76),EL397,MEZZANINE TO PLATFORM,2018-03-22T18:00:00.000Z,2018-03-22T18:25:08.142Z,2018-03-23T02:00:00.000Z,0.41892833333333335
Jay St - Metrotech - (ID: 16),EL706,STREET TO MEZZANINE,2018-03-22T17:55:00.000Z,2018-03-22T20:36:08.223Z,2018-03-23T02:00:00.000Z,2.6856174999999998
14 St - (ID: 2),EL221,STREET TO MEZZANINE,2018-03-22T17:43:00.000Z,2018-03-22T22:52:09.314Z,2018-03-23T02:00:00.000Z,5.1525872222222215
168 St - (ID: 47),EL111,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T16:43:00.000Z,2018-03-22T18:16:09.039Z,2018-03-23T01:00:00.000Z,1.5525108333333333
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM,2018-03-22T16:05:00.000Z,2018-03-22T17:50:08.833Z,2018-03-22T23:00:00.000Z,1.752453611111111
Times Sq - 42 St - (ID: 18),EL233,MEZZANINE AND UPTOWN 1/2/3 TRAINS PLATFORM,2018-03-22T14:40:00.000Z,2018-03-23T00:36:08.462Z,2018-03-22T23:00:00.000Z,9.935683888888889
161 St - Yankee Stadium - (ID: 3),EL134,MEZZANINE TO DOWNTOWN B/ D,2018-03-22T14:41:00.000Z,2018-03-22T15:31:09.237Z,2018-03-22T21:00:00.000Z,0.8358991666666667
59 St - Columbus Cir - (ID: 29),EL280,STREET TO MEZZANINE AND UPTOWN 1 PLATFORM,2018-03-22T14:35:00.000Z,2018-03-22T16:45:08.091Z,2018-03-22T20:00:00.000Z,2.1689141666666667
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-22T14:15:00.000Z,2018-03-22T18:37:09.152Z,2018-03-22T22:00:00.000Z,4.369208888888889
125 St - (ID: 1),EL144,MEZZANINE AND UPTOWN,2018-03-22T13:52:00.000Z,2018-03-22T21:32:09.641Z,2018-03-22T19:00:00.000Z,7.669344722222222
34 St - Hudson Yards - (ID: 52),EL600,PLATFORM TO LOWER MEZZANINE,2018-03-22T13:35:00.000Z,2018-03-22T15:10:07.840Z,2018-03-22T22:00:00.000Z,1.585511111111111
Pelham Pkwy - (ID: 90),EL137,MEZZANINE TO SOUTHBOUND PLATFORM,2018-03-22T13:55:00.000Z,2018-03-22T19:10:08.136Z,2018-03-22T21:00:00.000Z,5.252259999999999
Euclid Av - (ID: 32),EL342,MEZZANINE TO UPTOWN,2018-03-22T13:45:00.000Z,2018-03-22T19:07:09.647Z,2018-03-22T19:00:00.000Z,5.369346388888889
161 St - Yankee Stadium - (ID: 3),EL131,STREET TO MEZZANINE,2018-03-22T13:50:00.000Z,2018-03-22T14:42:08.045Z,2018-03-22T21:00:00.000Z,0.8689013888888889
Atlantic Av-Barclays Ctr - (ID: 8),EL301,STREET TO MEZZANINE,2018-03-22T13:12:00.000Z,2018-03-22T18:46:09.509Z,2018-03-22T21:00:00.000Z,5.569308055555555
Court St - (ID: 11),EL309,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T13:10:00.000Z,2018-03-22T16:55:08.226Z,2018-03-22T17:00:00.000Z,3.752285
181 St - (ID: 5),EL108,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T12:08:00.000Z,2018-03-22T12:46:09.140Z,2018-03-22T21:00:00.000Z,0.6358722222222222
Jamaica Center Parsons/Archer - (ID: 30),EL413,MEZZANINE TO PLATFORMS,2018-03-22T12:27:00.000Z,2018-03-22T14:05:08.555Z,2018-03-23T00:00:00.000Z,1.6357097222222223
Aqueduct Racetrack - (ID: 100),EL489X,STREET TO PLATFORM,2018-03-22T12:25:00.000Z,2018-03-23T00:47:09.006Z,2018-03-22T21:00:00.000Z,12.369168333333334
West 4 St - Washington Sq - (ID: 55),EL335,MIDDLE MEZZANINE TO UPTOWN PLATFORMS,2018-03-22T11:50:00.000Z,2018-03-22T17:20:09.068Z,2018-03-22T20:00:00.000Z,5.502518888888889
149 St - 3 Av - (ID: 45),EL130,STREET TO DOWNTOWN PLATFORM,2018-03-22T11:17:00.000Z,2018-03-22T16:44:09.047Z,2018-03-22T20:00:00.000Z,5.452513055555555
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS,2018-03-22T10:48:00.000Z,2018-03-22T20:10:07.479Z,2018-03-22T19:00:00.000Z,9.368744166666666
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-22T10:36:00.000Z,2018-03-22T11:54:07.990Z,2018-03-22T19:00:00.000Z,1.3022194444444444
Lexington Av / 63 St - (ID: 17),EL402,MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM,2018-03-22T10:44:00.000Z,2018-03-22T12:57:08.108Z,2018-03-22T19:00:00.000Z,2.2189188888888887
191 St - (ID: 28),EL103,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-22T10:34:00.000Z,2018-03-22T14:50:07.629Z,2018-03-22T19:00:00.000Z,4.268785833333334
207 St - Inwood - (ID: 24),EL148,STREET TO MEZZANINE,2018-03-22T10:40:00.000Z,2018-03-22T15:24:08.040Z,2018-03-22T19:00:00.000Z,4.735566666666667
Jamaica Center Parsons/Archer - (ID: 30),EL412,STREET TO MEZZANINE,2018-03-22T10:29:00.000Z,2018-03-22T11:31:08.319Z,2018-03-22T19:00:00.000Z,1.0356441666666667
Kingsbridge Road - (ID: 72),EL191,MEZZANINE TO SOUTHBOUND PLATFORM,2018-03-22T09:30:00.000Z,2018-03-22T10:51:09.042Z,2018-03-22T18:00:00.000Z,1.3525116666666668
233 St - (ID: 44),EL192,STREET TO MEZZANINE,2018-03-22T08:01:00.000Z,2018-03-22T16:20:08.249Z,2018-03-22T16:00:00.000Z,8.318958055555555
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM,2018-03-22T06:31:00.000Z,2018-03-22T09:00:07.474Z,2018-03-22T10:00:00.000Z,2.4854094444444446
181 St - (ID: 58),EL119,LOWER MEZZANINE TO STREET,2018-03-22T06:45:00.000Z,2018-03-22T08:27:08.656Z,2018-03-22T10:00:00.000Z,1.7024044444444444
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T05:15:00.000Z,2018-03-22T13:08:08.323Z,2018-03-22T10:00:00.000Z,7.885645277777778
Dyckman St - (ID: 95),EL178,STREET TO DOWNTOWN PLATFORM,2018-03-22T04:45:00.000Z,2018-03-22T06:07:08.478Z,2018-03-23T09:00:00.000Z,1.3690216666666666
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-03-22T05:04:00.000Z,2018-03-22T05:48:07.502Z,2018-03-22T10:00:00.000Z,0.7354172222222223
42 St - Grand Central - (ID: 49),EL205,MEZZANINE TO DOWNTOWN 4/5/6 PLATFORM,2018-03-22T04:57:00.000Z,2018-03-22T09:43:08.076Z,2018-03-22T10:00:00.000Z,4.768910000000001
Fordham Rd - (ID: 96),EL186,STREET TO MEZZANINE,2018-03-22T04:52:00.000Z,2018-03-22T08:56:09.331Z,2018-03-22T09:00:00.000Z,4.0692586111111115
34 St - Penn - (ID: 7),EL214,MEZZANINE TO UPTOWN LOCAL PLATFORM,2018-03-22T04:53:00.000Z,2018-03-22T09:45:08.009Z,2018-03-22T10:00:00.000Z,4.868891388888888
Lexington Av / 63 St - (ID: 17),EL402,MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM,2018-03-22T04:48:00.000Z,2018-03-22T08:44:08.738Z,2018-03-22T12:00:00.000Z,3.9357605555555555
231 St - (ID: 97),EL185,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-22T04:40:00.000Z,2018-03-22T08:20:07.126Z,2018-03-23T09:00:00.000Z,3.668646111111111
Brooklyn Bridge - City Hall - (ID: 33),EL316,MEZZANINE TO UPTOWN,2018-03-22T04:15:00.000Z,2018-03-22T06:11:08.883Z,2018-03-22T11:00:00.000Z,1.9358008333333332
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-22T03:55:00.000Z,2018-03-22T05:16:08.737Z,2018-03-22T12:00:00.000Z,1.3524269444444446
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-22T04:13:00.000Z,2018-03-22T04:16:09.156Z,2018-03-22T12:00:00.000Z,0.05254333333333334
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-22T03:40:00.000Z,2018-03-22T04:28:08.456Z,2018-03-22T11:00:00.000Z,0.8023488888888889
Gun Hill Rd - (ID: 92),EL182,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-22T03:45:00.000Z,2018-03-22T09:08:10.163Z,2018-03-22T09:00:00.000Z,5.386156388888889
Clark St - (ID: 10),EL312,LOWER MEZZANINE TO STREET,2018-03-22T03:40:00.000Z,2018-03-22T08:49:09.173Z,2018-03-22T10:00:00.000Z,5.152548055555555
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-22T03:39:00.000Z,2018-03-22T09:00:07.474Z,2018-03-22T10:00:00.000Z,5.352076111111111
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM,2018-03-22T02:00:00.000Z,2018-03-22T06:31:08.361Z,2018-03-22T11:00:00.000Z,4.5189891666666675
14 St - Union Sq - (ID: 36),EL219,MEZZANINE TO UPTOWN PLATFORM N/Q/R,2018-03-21T23:29:00.000Z,2018-03-22T01:48:09.647Z,2018-03-22T07:00:00.000Z,2.319346388888889
Aqueduct Racetrack - (ID: 100),EL489X,STREET TO PLATFORM,2018-03-21T20:30:00.000Z,2018-03-22T07:58:08.650Z,2018-03-22T05:00:00.000Z,11.469069444444445
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-21T20:03:00.000Z,2018-03-21T21:20:09.072Z,2018-03-22T16:00:00.000Z,1.2858533333333333
Lexington Av / 63 St - (ID: 17),EL402,MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM,2018-03-21T17:13:00.000Z,2018-03-21T19:23:08.960Z,2018-03-22T02:00:00.000Z,2.1691555555555557
Aqueduct Racetrack - (ID: 100),EL489X,STREET TO PLATFORM,2018-03-21T14:00:00.000Z,2018-03-21T17:15:07.443Z,2018-03-21T22:00:00.000Z,3.2520675
59 St - Columbus Cir - (ID: 29),EL280,STREET TO MEZZANINE AND UPTOWN 1 PLATFORM,2018-03-21T14:05:00.000Z,2018-03-21T15:04:07.317Z,2018-03-21T23:00:00.000Z,0.9853658333333333
Broadway-Lafayette/Bleecker St - (ID: 40),EL332,UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM,2018-03-21T14:10:00.000Z,2018-03-21T22:22:08.557Z,2018-03-21T22:00:00.000Z,8.202376944444445
Jamaica - Van Wyck - (ID: 15),EL408,MEZZANINE TO PLATFORM,2018-03-21T13:31:00.000Z,2018-03-21T15:09:06.659Z,2018-03-21T22:00:00.000Z,1.6351830555555553
Borough Hall - (ID: 85),EL317,STREET TO MEZZANINE,2018-03-21T13:20:00.000Z,2018-03-21T18:22:08.093Z,2018-03-21T21:00:00.000Z,5.035581388888889
Euclid Av - (ID: 32),EL342,MEZZANINE TO UPTOWN,2018-03-21T13:04:00.000Z,2018-03-21T19:22:08.612Z,2018-03-21T20:00:00.000Z,6.302392222222222
Euclid Av - (ID: 32),EL341,STREET TO MEZZANINE,2018-03-21T12:58:00.000Z,2018-03-21T22:17:09.290Z,2018-03-21T22:00:00.000Z,9.319247222222224
Atlantic Av-Barclays Ctr - (ID: 8),EL301,STREET TO MEZZANINE,2018-03-21T13:00:00.000Z,2018-03-21T18:40:08.195Z,2018-03-21T20:00:00.000Z,5.668943055555555
72 St / 2 Av - (ID: 62),EL259,PLATFORM TO LOWER MEZZANINE,2018-03-21T12:51:00.000Z,2018-03-22T11:07:07.830Z,2018-03-21T21:00:00.000Z,22.268841666666667
Court St - (ID: 11),EL308,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-21T12:40:00.000Z,2018-03-21T13:24:07.907Z,2018-03-21T21:00:00.000Z,0.7355297222222223
Flatbush Av Brooklyn College - (ID: 34),EL319,STREET TO PLATFORMS,2018-03-21T12:30:00.000Z,2018-03-21T18:18:08.798Z,2018-03-21T20:00:00.000Z,5.802443888888889
Forest Hills - 71 Av - (ID: 69),EL439,MEZZANINE TO NORTHBOUND PLATFORM,2018-03-21T11:25:00.000Z,2018-03-21T13:48:08.061Z,2018-03-21T20:00:00.000Z,2.3855725
Fulton St - (ID: 13),EL720,CENTER ISLAND LOWER PLATFORM TO MEZZANINE,2018-03-21T11:12:00.000Z,2018-03-21T13:44:08.173Z,2018-03-21T20:00:00.000Z,2.5356036111111115
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-21T10:35:00.000Z,2018-03-21T12:08:08.636Z,2018-03-21T19:00:00.000Z,1.5523988888888889
161 St - Yankee Stadium - (ID: 3),EL131,STREET TO MEZZANINE,2018-03-21T03:00:00.000Z,2018-03-21T10:25:07.214Z,2018-03-21T11:00:00.000Z,7.418670555555555
South Ferry - (ID: 93),EL730,STREET TO MEZZANINE,2018-03-21T08:10:00.000Z,2018-03-21T09:01:08.371Z,2018-03-21T16:00:00.000Z,0.8523252777777778
Times Sq - 42 St - (ID: 18),EL230,MEZZANINE TO UPTOWN,2018-03-21T07:50:00.000Z,2018-03-21T09:24:07.973Z,2018-03-21T18:00:00.000Z,1.568881388888889
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-21T07:36:00.000Z,2018-03-21T10:36:09.167Z,2018-03-21T14:00:00.000Z,3.002546388888889
Simpson St - (ID: 38),EL128,STREET TO DOWNTOWN PLATFORM,2018-03-21T07:30:00.000Z,2018-03-21T12:11:08.835Z,2018-03-21T17:00:00.000Z,4.6857875
Atlantic Av-Barclays Ctr - (ID: 8),EL301,STREET TO MEZZANINE,2018-03-21T07:09:00.000Z,2018-03-21T09:38:09.140Z,2018-03-21T09:00:00.000Z,2.485872222222222
34 St - Herald Sq - (ID: 22),EL211,MEZZANINE TO DOWNTOWN,2018-03-21T06:48:00.000Z,2018-03-21T09:34:08.874Z,2018-03-21T09:15:00.000Z,2.7691316666666665
Brooklyn Bridge - City Hall - (ID: 33),EL314,STREET TO MEZZANINE,2018-03-21T06:32:00.000Z,2018-03-21T09:04:07.867Z,2018-03-21T09:00:00.000Z,2.5355186111111108
Chambers St - (ID: 41),EL338,MEZZANINE TO DOWNTOWN,2018-03-21T05:30:00.000Z,2018-03-21T09:06:08.279Z,2018-03-21T08:00:00.000Z,3.6022997222222224
South Ferry - (ID: 93),EL730,STREET TO MEZZANINE,2018-03-21T06:00:00.000Z,2018-03-21T08:01:08.074Z,2018-03-21T13:00:00.000Z,2.018909444444444
168 St - (ID: 47),EL113,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-21T05:40:00.000Z,2018-03-21T09:22:08.757Z,2018-03-21T10:00:00.000Z,3.7024325
34 St - Penn - (ID: 7),EL216,MEZZANINE TO DOWNTOWN LOCAL PLATFORM,2018-03-21T05:00:00.000Z,2018-03-21T09:40:08.103Z,2018-03-21T08:30:00.000Z,4.6689175
Jamaica Center Parsons/Archer - (ID: 30),EL412,STREET TO MEZZANINE,2018-03-21T04:57:00.000Z,2018-03-21T09:19:08.423Z,2018-03-21T09:00:00.000Z,4.369006388888889
14 St - (ID: 23),EL218,MEZZANINE TO L PLATFORM,2018-03-21T04:50:00.000Z,2018-03-21T08:51:07.964Z,2018-03-21T07:00:00.000Z,4.018878888888889
West 4 St - Washington Sq - (ID: 55),EL335,MIDDLE MEZZANINE TO UPTOWN PLATFORMS,2018-03-21T04:40:00.000Z,2018-03-21T08:56:08.421Z,2018-03-21T09:15:00.000Z,4.269005833333334
Fordham Rd - (ID: 96),EL186,STREET TO MEZZANINE,2018-03-20T04:14:00.000Z,2018-03-21T09:09:07.471Z,2018-03-21T09:00:00.000Z,28.918741944444445
66 St - Lincoln Center - (ID: 98),EL237,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-21T04:11:00.000Z,2018-03-21T06:06:10.426Z,2018-03-21T06:45:00.000Z,1.919562777777778
Brooklyn Bridge - City Hall - (ID: 33),EL315,MEZZANINE TO DOWNTOWN,2018-03-21T04:02:00.000Z,2018-03-21T06:11:08.865Z,2018-03-21T06:00:00.000Z,2.1524625
34 St - Penn - (ID: 7),EL214,MEZZANINE TO UPTOWN LOCAL PLATFORM,2018-03-21T03:57:00.000Z,2018-03-21T09:29:10.332Z,2018-03-21T09:00:00.000Z,5.536203333333333
Broadway-Lafayette/Bleecker St - (ID: 40),EL331,UPTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM,2018-03-21T03:55:00.000Z,2018-03-21T06:27:08.187Z,2018-03-21T09:00:00.000Z,2.5356075
Jackson Hts - Roosevelt Av - (ID: 14),EL422,LOWER MEZZANINE TO UPTOWN E/F/M/R PLATFORM,2018-03-21T03:45:00.000Z,2018-03-21T08:59:08.363Z,2018-03-21T09:00:00.000Z,5.235656388888889
Gun Hill Rd - (ID: 92),EL182,STREET TO MEZZANINE & UPTOWN PLATFORM,2018-03-21T03:40:00.000Z,2018-03-21T09:22:08.757Z,2018-03-21T09:00:00.000Z,5.7024325000000005
161 St - Yankee Stadium - (ID: 3),EL132,MEZZANINES TO  UPTOWN 4 PLATFORM,2018-03-21T03:50:00.000Z,2018-03-21T09:15:07.078Z,2018-03-21T09:00:00.000Z,5.418632777777778
42 St - Grand Central - (ID: 49),EL244,MEZZANINE TO 7 PLATFORM,2018-03-21T03:49:00.000Z,2018-03-21T04:19:07.455Z,2018-03-21T09:00:00.000Z,0.5020708333333334
Canal St - (ID: 63),EL324,STREET TO UPTOWN PLATFORM,2018-03-21T03:41:00.000Z,2018-03-21T09:12:08.679Z,2018-03-21T09:00:00.000Z,5.5190775
231 St - (ID: 97),EL184,STREET TO MEZZANINE AND DOWNTOWN PLATFORM,2018-03-21T03:41:00.000Z,2018-03-21T09:24:07.973Z,2018-03-21T09:00:00.000Z,5.71888138888889
Broadway-Lafayette/Bleecker St - (ID: 40),EL328,STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM,2018-03-21T02:47:00.000Z,2018-03-21T05:05:08.631Z,2018-03-21T11:00:00.000Z,2.3023974999999997
34 St - Hudson Yards - (ID: 52),EL600,PLATFORM TO LOWER MEZZANINE,2018-03-21T01:45:00.000Z,2018-03-21T04:36:07.168Z,2018-03-21T10:00:00.000Z,2.851991111111111
42 St - Grand Central - (ID: 49),EL204,STREET TO TERMINAL/MEZZANINE,2018-03-21T01:25:00.000Z,2018-03-21T07:07:07.935Z,2018-03-21T09:00:00.000Z,5.702204166666666
42 St - Bryant Park - (ID: 79),EL295X,NW Corner of 39th & 6th,2018-03-20T21:30:00.000Z,2018-03-29T00:21:08.909Z,2018-03-21T09:00:00.000Z,194.8524747222222
50 St - (ID: 99),EL208X,PLAZA TO DOWNTOWN PLATFORMS,2018-03-20T20:16:00.000Z,2018-03-21T08:52:08.289Z,2018-03-21T09:00:00.000Z,12.6023025
34 St - Penn - (ID: 53),EL226,UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE,2018-03-21T00:02:00.000Z,2018-03-21T02:22:08.923Z,2018-03-21T07:00:00.000Z,2.3358119444444445
Jackson Hts - Roosevelt Av - (ID: 14),EL421,MEZZANINE TO DOWNTOWN E/F/M/R,2018-03-20T23:15:00.000Z,2018-03-21T08:26:08.917Z,2018-03-21T08:00:00.000Z,9.18581027777778
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE,2018-03-20T23:16:00.000Z,2018-03-20T23:27:08.746Z,2018-03-21T08:00:00.000Z,0.18576277777777778
Hunts Point - (ID: 46),EL195,STREET TO MEZZANINE,2018-03-20T22:59:00.000Z,2018-03-20T23:13:08.708Z,2018-03-21T07:00:00.000Z,0.2357522222222222
8 Av - (ID: 91),EL224,MEZZANINE TO PLATFORM,2018-03-20T18:00:00.000Z,2018-03-25T01:15:07.027Z,2018-03-25T22:00:00.000Z,103.25195194444444
191 St - (ID: 28),EL104,STREET TO MEZZANINE / MEZZANINE TO PLATFORM,2018-03-20T23:03:00.000Z,2018-03-21T02:42:09.342Z,2018-03-21T08:00:00.000Z,3.652595
Jay St - Metrotech - (ID: 16),EL709,MEZZANINE TO PLATFORM,2018-03-20T22:31:00.000Z,2018-03-21T00:46:07.644Z,2018-03-21T07:00:00.000Z,2.252123333333333
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7),2018-03-20T22:20:00.000Z,2018-03-20T23:28:09.329Z,2018-03-21T05:00:00.000Z,1.1359247222222222
59 St - Columbus Cir - (ID: 29),EL277,MEZZANINE AND DOWNTOWN,2018-03-20T20:48:00.000Z,2018-03-20T23:23:08.211Z,2018-03-21T05:00:00.000Z,2.5856141666666663
233 St - (ID: 44),EL193,MEZZANINE TO DOWNTOWN PLATFORM,2018-03-20T20:10:00.000Z,2018-03-21T01:37:08.936Z,2018-03-21T02:00:00.000Z,5.452482222222222
Jay St - Metrotech - (ID: 16),EL327X,STREET TO MEZZANINE,2018-03-20T19:58:00.000Z,2018-03-21T08:51:07.964Z,2018-03-21T05:00:00.000Z,12.885545555555556
